ubica_geo,shape,loc,scale
7117,1.7125294605706363,0.5849079647547588,13.882576583521274
7118,0.051074029366371065,-4.650159695104181,25.084449703621296
7119,9.407000754793556,1.8477777777777773,0.21066625456369706
7120,10.113975221684425,0.32599999999999996,1.0613975303128012
7121,10.451527863415963,0.8473333333333333,0.2506908390180096
7122,17.95440934127035,2.173333333333333,4.728392964612012e-05
7123,9.978762506375528,1.3033333333333335,0.6572113758839635
7124,11.809622368961698,12.064666666666666,0.4062379481206191
7125,10.113975221684425,0.32599999999999996,1.0613975303128012
8004,1.5982576568837397,0.8934743902735511,23.65767377163738
8008,17.890655882467456,2.9339999999999997,4.30165279014644e-05
8015,14.667021499421933,9.779999999999998,0.003010118243921568
8016,9.298520702791723,2.3290476190476186,1.392889159873621
8022,1.6213648136642225e-05,-16380.202186627488,16384.427619856946
8023,13.503844310129795,3.4777777777777774,0.08103089663925919
8024,11.806320181741098,4.075833333333332,0.2528387986263964
8025,13.581493988646958,5.2173333333333325,0.21071838731152379
8030,10.094169861082142,2.4449999999999994,0.5951919586957888
8033,10.546793576133188,3.2599999999999993,0.5649701906849267
8036,1.6679972603987232,1.4562200672462347,11.977619156245185
8038,10.508498184228436,4.075833333333332,0.9045022619731442
8039,9.298520702791723,2.3290476190476186,1.392889159873621
8041,11.50787479724017,3.912666666666666,0.32556573985681064
8042,14.671655036370641,48.90999999999999,0.028268127923898496
8044,11.492513009766068,2.2824999999999998,0.29611746195448246
8046,10.113975221684425,0.32599999999999996,1.0613975303128012
8047,16.222487852579086,10.869444444444442,0.002723602274632318
8049,9.143817403863814,3.027619047619047,1.767276852360069
8056,10.546793576133188,3.2599999999999993,0.5649701906849267
8057,0.08366926839765483,16.451934618785746,45.14341355546828
8058,16.24532784902504,2.4449999999999994,0.0007106038660039354
8061,1.6213648136642225e-05,-16380.202186627488,16384.427619856946
8064,18.033077047424676,1.0187499999999998,2.6425317042629392e-05
8065,12.49058570769781,5.434444444444443,0.15547130444927293
8066,11.152320025078405,2.0649999999999995,0.6742511051607674
8067,8.451254211275812,4.347777777777777,2.1728034401324203
10002,11.03269457412677,4.0426666666666655,0.17180590874458992
10003,17.890655882467456,2.9339999999999997,4.30165279014644e-05
10008,1.0258317311605774,0.29576446705719756,16.556653223984494
10009,13.517511487890578,0.9779999999999999,0.026041726373309305
10011,12.895766778575,1.6299999999999997,0.11230024032461297
10017,0.08366926839765483,16.451934618785746,45.14341355546828
10019,13.503844310129795,3.4777777777777774,0.08103089663925919
10021,13.155785293102856,6.519999999999999,0.0755882837482536
