AGEB,ubica_geo,geometry,longitud,latitud,Entidad federativa,Municipio,Clave de municipio,cadena
8017,8037,POINT (-106.36519317456208 31.561507495766328),-106.36519317456208,31.561507495766328,Chihuahua,Juárez,8037,Farmatodo
2764,7101,POINT (-93.14559657854373 16.71574959320062),-93.14559657854373,16.71574959320062,Chiapas,Tuxtla Gutiérrez,7101,Farmatodo
2764,7101,POINT (-93.18451182111444 16.688913048882945),-93.18451182111444,16.688913048882945,Chiapas,Tuxtla Gutiérrez,7101,San Pablo
041A,15074,POINT (-100.01337239253283 19.65415248927989),-100.01337239253283,19.65415248927989,México,San Felipe del Progreso,15074,Del Ahorro
0829,17018,POINT (-99.32808575272907 18.8656106212528),-99.32808575272907,18.8656106212528,Morelos,Temixco,17018,Farmacias Guadalajara
0198,15026,POINT (-99.65346878659763 19.863399299836413),-99.65346878659763,19.863399299836413,México,Chapa de Mota,15026,Farmatodo
0093,15056,POINT (-99.60109969859123 19.650875645157548),-99.60109969859123,19.650875645157548,México,Morelos,15056,Farmacias Guadalajara
1843,28027,POINT (-99.5653368788938 27.448258839525927),-99.5653368788938,27.448258839525927,Tamaulipas,Nuevo Laredo,28027,Klynn
0061,11009,POINT (-100.76139689549588 20.69369785487683),-100.76139689549588,20.69369785487683,Guanajuato,Comonfort,11009,Del Ahorro
1100,19006,POINT (-100.24905436631326 25.849361441606575),-100.24905436631326,25.849361441606575,Nuevo León,Apodaca,19006,Cualquiera
0093,15056,POINT (-99.61636712948554 19.648327691556013),-99.61636712948554,19.648327691556013,México,Morelos,15056,Farmatodo
0198,15026,POINT (-99.63821630916757 19.854164554919617),-99.63821630916757,19.854164554919617,México,Chapa de Mota,15026,Farmacias Guadalajara
0133,7027,POINT (-92.9833355124333 16.718362518445485),-92.9833355124333,16.718362518445485,Chiapas,Chiapa de Corzo,7027,Farmacias Guadalajara
0216,21207,POINT (-97.55120689222004 19.875138616354707),-97.55120689222004,19.875138616354707,Puebla,Zacapoaxtla,21207,Cualquiera
0694,11015,POINT (-101.3076112799979 20.85936704766564),-101.3076112799979,20.85936704766564,Guanajuato,Guanajuato,11015,Farmacias Guadalajara
0216,21207,POINT (-97.55443267227932 19.86003815744132),-97.55443267227932,19.86003815744132,Puebla,Zacapoaxtla,21207,Benavides
0219,15042,POINT (-99.8094005194843 19.548279355938792),-99.8094005194843,19.548279355938792,México,Ixtlahuaca,15042,San Pablo
2617,26030,POINT (-111.05786148071117 29.086314267597913),-111.05786148071117,29.086314267597913,Sonora,Hermosillo,26030,Del Ahorro
